12345678912;Pedro Lucas Andrades da Silva;transgenero;91
65478932145;Roberta Pereira Goncalves;cisgenero;36
12398748751;Thais de Souza Ferreira;cisgenero;54
69374512457;Elisa Moraes Nogueira;nao-binario;76
84210230120;Marcos Antonio Almansa;cisgenero;33
83298347013;Thiago Borges Guimaraes;transgenero;29
19798463932;Marta Pereira Filho;nao-binario;45
84723742372;Ana Luiza Marques;cisgenero;13
01827308100;Wilsiman Santos Evangelista Silva;transgenero;56
93619826319;Aroldo Fidal Junior;nao-binario;34
